[00:00:00] 那我們就開始今天課程
[00:00:01] 那在開始課程開始前
[00:00:04] 我想請教大家一下有沒有夥伴
[00:00:06] 你已經有使用生成式AI在你的教學
[00:00:09] 備課也算
[00:00:10] 寫教案啊
[00:00:13] 一位
[00:00:15] 有兩位三位對不對
[00:00:16] 不要害羞嘛
[00:00:18] 應該有夥伴有經驗了
[00:00:20] 就是備課也算
[00:00:22] 就是你在做甚至用
[00:00:24] 等下有些服務可能大家有用過
[00:00:27] 今天會講一些服務
[00:00:30] 但是今天不會講太detail的工具操作
[00:00:33] 如果老師們看到那個
[00:00:35] classroom裡面我有一些清單
[00:00:37] 在最下面
[00:00:38] 那最下面那個清單
[00:00:40] 就是老師們回去可以去
[00:00:41] 去玩玩看的
[00:00:43] 去玩玩看就是說
[00:00:45] 某些教學的情境
[00:00:47] 是可以使用
[00:00:48] 甚至會給小朋友使用
[00:00:50] 這樣子像今天會有一些案例
[00:00:52] 那我也有去試過
[00:00:53] 這還蠻有趣的
[00:00:55] 那特別是現在生生有平板
[00:00:59] 不對應該是生生用平板
[00:01:02] 那各校應該都有
[00:01:03] 平板可以使用
[00:01:05] 那今天這些老師們
[00:01:07] 看到這些系統大部分
[00:01:08] 是用瀏覽器就可以操作
[00:01:11] 所以大家也不用去特別裝什麼App
[00:01:13] 裝什麼這些東西都不用裝
[00:01:15] 你就是只要用瀏覽器登錄就可以使用
[00:01:18] 老師們回去真的是
[00:01:20] 可以讓孩子試試看的
[00:01:22] 好那我就我就是坐著講
[00:01:23] 那我就開始今天的這個一個分享
[00:01:28] 好
[00:01:30] 我目前是在新北市的海山國小服務
[00:01:32] 那我目前是我自己是帶班
[00:01:35] 那目前是那個四年級的
[00:01:37] 導師班導師
[00:01:40] 那有人會很懷疑說
[00:01:42] 為什麼沒有去當
[00:01:43] 可能一般電腦老師或科技老師
[00:01:45] 我以前是啦我以前大概當了20年電腦老師
[00:01:48] 但現在在我發現有些很有趣的是
[00:01:51] 就是因為我國小包班制
[00:01:53] 那我自己有帶班的話能夠
[00:01:55] 我後來發現
[00:01:56] 因為當電腦老師跟科技老師會有
[00:01:58] 會有一些限制
[00:02:00] 因為一個禮拜就一節課
[00:02:02] 其實能夠玩的東西不是那麼多
[00:02:04] 那反而是我是
[00:02:05] 在座應該蠻多夥伴是國小老師
[00:02:08] 那特別如果您是班導的話
[00:02:10] 那時間運用上就很有彈性
[00:02:12] 所以可以玩的東西蠻多
[00:02:14] 那也可以鼓勵大家
[00:02:16] 回去今天把今天課程
[00:02:18] 有些東西回去真的可以玩玩看
[00:02:22] 好那我跟你們先看這句話
[00:02:24] 老師們知道GPT問世多久了
[00:02:28] 大家知道嗎
[00:02:29] 他其實還不到三歲
[00:02:32] 他到今年的年底才滿三歲
[00:02:34] 可是大家有沒有覺得
[00:02:36] 已經好像如
[00:02:37] 恍如隔世
[00:02:39] 就是已經覺得好像過很久對不對
[00:02:42] 但是其實GPT那個
[00:02:44] 第一個版本出現的時候
[00:02:46] release讓大家去使用
[00:02:48] 其實才兩年半
