[00:00:06] 哈囉 大家好 歡迎來到科技兔頻道 我是Eason
[00:00:08] 今天要來跟大家教學如何使用Codex
[00:00:11] 將網頁文章轉成簡報
[00:00:14] 那麼Codex 它其實並不是只是一個簡單的AI agent
[00:00:18] 它同時也是一個非常好用的工具
[00:00:21] 比方說它可以將很多檔案給它進行轉檔
[00:00:24] 那麼網頁文章轉成簡報這件事情
[00:00:27] 其實Codex它也是可以做到的
[00:00:29] 當我們想要叫 Codex 將某一篇網頁文章轉成簡報的時候
[00:00:33] 我們必須要先告訴它簡報設計規範
[00:00:36] 以及簡報輸出的規則
[00:00:39] 這裡我們先來看一下簡報設計規範
[00:00:42] 那麼為什麼一開始要先跟Codex討論好簡報設計規範呢
[00:00:46] 就是因為如果你只是把一篇網頁文章的網址
[00:00:49] 直接丟給Codex
[00:00:51] 然後叫它把這篇網頁文章轉成簡報
[00:00:54] 它其實並不知道你想要轉成什麼樣的簡報
[00:00:58] 以及這個簡報它應該長成什麼樣子
[00:01:00] 所以當我們想要請Codex將某篇網頁文章轉成簡報的時候
[00:01:04] 我們要先告訴它這個簡報它想要被設計成什麼樣子
[00:01:09] 比方說你希望這個主色調它是什麼顏色
[00:01:12] 然後輔助色調是什麼顏色
[00:01:14] 然後設計的感覺大概怎麼樣
[00:01:16] 比方說科技感、專業感、設計感
[00:01:19] 然後簡報張數它有沒有被固定呢
[00:01:22] 還是只需要依文章內容決定呢
[00:01:24] 視覺方面應該怎麼呈現
[00:01:26] 比方說可能可以用這個抽象的幾何圖形
[00:01:29] 線條、流程卡、比較表等等
[00:01:32] 那麼這裡只是提供一個簡單的範例
[00:01:35] 假設今天我們已經跟Codex 溝通好了
[00:01:37] 這個簡報的外觀它應該要怎麼設計
[00:01:40] 那麼接下來我們還要跟Codex 溝通這個簡報輸出規則
[00:01:44] 那這個簡報輸出規則就是我們要告訴Codex這個檔案
[00:01:48] 它的格式應該是要怎麼樣
[00:01:49] 比方說它可能是這個.pptx檔
[00:01:52] 然後最終檔案要放在哪裡
[00:01:54] 然後簡報需不需要頁碼
[00:01:56] 然後能不能夠使用外部來源圖片、網站截圖等等
[00:02:00] 也就是說我們除了要跟Codex講
[00:02:02] 我們想要的設計外觀應該要長什麼樣子之外
[00:02:05] 我們還要跟Codex講這個簡報輸出的檔案格式
[00:02:09] 應該要長什麼樣子
[00:02:10] 那麼當我們跟Codex溝通完了
[00:02:12] 這個簡報設計規則以及簡報輸出規則之後
[00:02:16] 接下來我們就能夠將網頁的文章網址丟給Codex
[00:02:21] 然後請他幫我們將網頁文章轉成簡報
[00:02:24] 那這裡我們直接進入到Codex裡面來看一下
[00:02:27] 好這裡我們直接進入到Codex裡面來看一下
[00:02:29] 然後左側欄這個地方我們可以看到這裡有個專案
[00:02:32] 那這個專案是我自己新增用來專門將網頁文章轉成簡報的專案
[00:02:38] 好那麼假設今天你已經跟Codex溝通完了
[00:02:40] 你的簡報設計外觀應該要長什麼樣子
[00:02:43] 以及簡報輸出的格式應該要建成什麼樣的檔案
[00:02:47] 然後你確定這些都已經寫成規則之後
[00:02:51] 接下來你只要提供Codex你的網頁文章的網址
[00:02:55] 那Codex就會直接將你提供的網址把它製作成一份
[00:03:00] 可以開啟的PPT簡報
[00:03:02] 比方說這裡我自己就是提供Codex這一篇網頁文章的網址
[00:03:07] 然後告訴他在轉成簡報之前先幫我檢查內容是否有錯誤
[00:03:12] 沒有錯誤的話就可以進行這個網頁文章轉簡報
[00:03:15] 那如果有錯誤的話就要先回報
[00:03:18] 好那麼下方這裡我們可以看到Codex的執行時間大概是6分鐘左右
[00:03:22] 他只花了6分鐘就幫我們將這篇文章轉成了一份可以開啟的PPT簡報
[00:03:29] 那這裡我們稍微來看一下成果
[00:03:31] 這份檔案它只是一個預覽圖
[00:03:33] 那麼他幫我生成了一份9頁的PPT檔案
[00:03:37] 那如果我們想要開啟這份檔案的話
[00:03:39] 我們只要對這個檔案點擊右鍵
[00:03:41] 點擊右鍵之後下方這裡我們可以看到一個在資料夾中顯示
[00:03:46] 這裡點擊在資料夾中顯示之後
[00:03:48] 你就能夠前往那一份檔案在你電腦放置的位置
[00:03:52] 好那最終的簡報它長成什麼樣子呢
[00:03:54] 其實大家目前看到的這份簡報其實就是Codex他幫我們製作的
[00:04:00] 那我自己對於他轉成簡報的這個外觀設計
[00:04:03] 我自己是覺得它還可以
[00:04:04] 好那最後我們再做一個總整理
[00:04:06] 當我們想要叫Codex幫我們將某一篇網頁文章轉成簡報的時候
[00:04:10] 我們要先跟Codex討論這個設計規則
[00:04:13] 輸出規則或者是這個查核流程
[00:04:16] 那麼這個設計規則就是決定簡報長什麼樣子
[00:04:19] 那麼這個輸出規則就是決定檔案格式應該長什麼樣子
[00:04:23] 然後如果可以的話最後最好再加一份這個查核流程
[00:04:27] 那麼這個查核流程就是簡報全部製作完之後
[00:04:31] 要檢查每個細項它有沒有做對
[00:04:34] 那如果沒有做對的話就要重新修改
[00:04:36] 好那以上就是關於使用Codex將網頁文章轉成簡報的完整教學
[00:04:40] 那最後大家不要忘記要訂閱科技兔的YT頻道
[00:04:42] 然後打開小鈴鐺
[00:04:44] 這樣子就不會錯過之後的最新影片
[00:04:46] 那麼我們下次再見囉
[00:04:47] 掰掰
